id,lgbtqiap
MHJNBFLEIB,No  
1EHMV7AV47,No  
DFMIPFZL8B,No  
EPQ4ZA7G8Y,Yes  
X3XYENU3NA,Yes  
B6OKCMPZ9V,No  
YRZXGG7XTM,Yes  
4D4CD02RCI,Yes  
O6VU4UUUKL,No  
W6ZXKO90MV,Yes  
8CY17PHCCH,No  
FUI54W1B16,No  
NG5BOIXW0S,Yes  
BDG78QQMAG,No  
9XKEAHHJBN,I prefer not to answer  
J19HL7M4XE,No  
WM8QR8BSTI,Yes  
9CJ2SMT4B3,Yes  
E8MFD3ZS9C,Yes  
2HJO5Y9XD7,No  
5HZQYZ94R7,No  
UR7SQ5HPHJ,Yes  
W8YGLIJKQH,Yes  
IJ5F40894E,Yes  
X6BTBY6G51,No  
5KA9PF4T3N,Yes  
H758Y7WZBM,Yes  
ZK2Z2EPSH4,No  
KVNJCRQN8C,Yes  
NVZEBP7461,Yes  
ORWG712ZAR,Yes  
1VY2BTYPBT,No  
MUGWJWAV11,Yes  
MQ9I0AUR1O,Yes  
CZ8K9JQ9DJ,No  
5CV4JTENQ7,Yes  
7NIQ428TIO,No  
TO9Y139FMD,Yes  
18C5QP5GYA,No  
GW3EK3T2FX,Yes  
U5MJKS31QX,No  
GUUZ0KJDQE,No  
ZPJOBWIB8F,Yes  
6I6DUY8ZDQ,No  
1ADR94BP0V,I prefer not to answer  
BWDOF5MT3X,No  
IQBBM8XPOB,No  
81Y78EZUNJ,I prefer not to answer  
QRZVN94B4C,Yes  
EJTYQPRUQ0,No  
C7Y6TY96NX,Yes  
WEAHHDK5LU,I prefer not to answer  
D3LNDSWI9I,No  
H31556QYCS,Yes  
ZM8KDOXGKR,No  
QVJ343SSKU,Yes  
T38571CG7J,Yes  
5GY5UJZG9D,Yes  
UJRBL3M5GA,Yes  
X0JCDDH9AS,Yes  
9LOZDPHLFN,Yes  
CN17K6TEN7,No  
RB63ZJJ657,No  
D0X7OTFA3C,No  
4WPG3K6B1Y,No  
L6YHFUG4WU,Yes  
WJ2WLSAAU1,No  
DO98UZFOGV,Yes  
P3T1RCDW0A,Yes  
R4EMGVA3DN,Yes  
6S8O1W5S6X,Yes  
MPD0T355MW,No  
8QOXGS8443,Yes  
QTO1EFO1YB,No  
KYV43L2D3Z,Yes  
W9CNP5J6LH,Yes  
4THC8XAGXD,No  
A85H1MJ5CH,Yes  
HSVAJ2Y5FO,Yes  
BZ7H8U440R,Yes  
7OGCNZ8ZW7,I prefer not to answer  
OD0ZUQSJ6L,Yes  
XKWKRM4N81,Yes  
IZTRDON69E,Yes  
BZFHBQE85H,Yes  
OB95ECFXXG,No  
46B0U7MOJE,I prefer not to answer  
NKMEYLPH1V,No  
5AF0I3A1BC,No  
WMTJSYB5PV,Yes  
XNY5XVQ207,Yes  
70SSSGOKDK,No  
6T1WQM38CU,Yes  
M6VFEBF3WW,No  
KSY9B3H3ZB,No  
67YTAKSVEB,No  
NDMC0SM16U,Yes  
OIT8MX08A6,No  
EP35AJHS0Q,No  
42OWM65DR4,Yes  
4LBUGYSH1A,Yes  
RLDGMEWIZK,No  
VCVNLWHFIJ,No  
297WRC0CYB,Yes  
ZYFR727GAQ,Yes  
