earning_mode,household_income_2021,debt,age,income
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,36.0,18968.0
Unemployed,"$25,000 to $34,999",No,54.0,30078.0
Art Practice,"$25,000 to $34,999",No,54.0,34694.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,41.0,24319.0
Fulltime Job,"Under $15,000",No,0.0,6174.0
Contracts or Temporary Jobs,"Under $15,000",No,0.0,6371.0
One or More Part-time Jobs,"Under $15,000",No,0.0,3921.0
Other,"Under $15,000",No,43.0,3574.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,31.0,18725.0
Art Practice,"$35,000 to $49,999",Yes,36.0,38382.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,36.0,36457.0
Fulltime Job,"$50,000 to $74,999",Yes,49.0,55138.0
One or More Part-time Jobs,"Under $15,000",Yes,29.0,199.0
Unemployed,"$15,000 to $24,999",No,54.0,20874.0
Fulltime Job,"$35,000 to $49,999",Yes,41.0,45227.0
Unemployed,"Under $15,000",Yes,35.0,6530.0
Family Support,"Under $15,000",Yes,35.0,13001.0
Contracts or Temporary Jobs,"Under $15,000",Yes,35.0,11901.0
Fulltime Job,"$25,000 to $34,999",Yes,48.0,33445.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,48.0,29593.0
Fulltime Job,"$35,000 to $49,999",Yes,41.0,41837.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,41.0,45734.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,41.0,46024.0
Unemployed,"Under $15,000",Yes,54.0,9231.0
Contracts or Temporary Jobs,"Under $15,000",Yes,54.0,4071.0
Unemployed,"$25,000 to $34,999",Yes,44.0,25496.0
Other,"$25,000 to $34,999",Yes,44.0,26454.0
Fulltime Job,"$25,000 to $34,999",Yes,44.0,31113.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,44.0,34744.0
Unemployed,"Under $15,000",Yes,50.0,10660.0
Family Support,"Under $15,000",Yes,50.0,7770.0
Family Support,"$15,000 to $24,999",Yes,39.0,19257.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,39.0,15189.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,39.0,15183.0
Art Practice,"$15,000 to $24,999",Prefer not to answer ,25.0,23423.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,25.0,18749.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,29.0,25491.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,29.0,29422.0
Art Practice,"$15,000 to $24,999",Yes,37.0,22044.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,37.0,21690.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,49.0,34123.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,52.0,17550.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,14838.0
Fulltime Job,"$35,000 to $49,999",No,30.0,40406.0
Unemployed,"Under $15,000",Yes,36.0,10559.0
Contracts or Temporary Jobs,"Under $15,000",Yes,36.0,14460.0
Unemployed,"Under $15,000",Yes,68.0,3615.0
Other,"Under $15,000",Yes,68.0,9140.0
Unemployed,"Under $15,000",Yes,52.0,5564.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,29.0,41883.0
Unemployed,"Under $15,000",Yes,35.0,8130.0
Art Practice,"$25,000 to $34,999",Yes,57.0,27033.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,36.0,39076.0
Unemployed,"Under $15,000",Yes,32.0,14685.0
Art Practice,"Under $15,000",Yes,32.0,773.0
Fulltime Job,"$25,000 to $34,999",Yes,41.0,30865.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,41.0,32434.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,31.0,42241.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,68.0,49214.0
One or More Part-time Jobs,"$35,000 to $49,999",No,68.0,43908.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,54.0,43639.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,54.0,44081.0
Unemployed,"Under $15,000",Yes,42.0,13425.0
Family Support,"Under $15,000",Yes,42.0,12030.0
Contracts or Temporary Jobs,"Under $15,000",Yes,42.0,7904.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,40.0,28870.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,40.0,28272.0
Fulltime Job,"$50,000 to $74,999",Yes,32.0,64897.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,19891.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,32.0,23096.0
One or More Part-time Jobs,"Under $15,000",Yes,49.0,14625.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,54.0,56852.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,38.0,15195.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,38.0,21842.0
Unemployed,"$25,000 to $34,999",No,36.0,28856.0
Fulltime Job,"$35,000 to $49,999",Yes,36.0,48095.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,36.0,47163.0
Fulltime Job,"$25,000 to $34,999",Yes,28.0,31763.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,28.0,30588.0
Unemployed,"Under $15,000",No,19.0,105.0
One or More Part-time Jobs,"Under $15,000",Yes,26.0,8849.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,52.0,36026.0
Unemployed,"Under $15,000",Yes,36.0,9620.0
Family Support,"Under $15,000",Yes,36.0,9019.0
Art Practice,"Under $15,000",Yes,36.0,14830.0
Art Practice,"Under $15,000",No,34.0,9998.0
Family Support,"$15,000 to $24,999",No,26.0,20637.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,43.0,21954.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,50.0,42640.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,32.0,42205.0
Family Support,"$35,000 to $49,999",Yes,25.0,46395.0
Art Practice,"Under $15,000",Yes,23.0,3663.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,32.0,22475.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,23.0,21185.0
Unemployed,"Under $15,000",Yes,58.0,6649.0
Other,"Under $15,000",Yes,58.0,2595.0
Art Practice,"$25,000 to $34,999",No,33.0,32086.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,33.0,26366.0
Unemployed,"$15,000 to $24,999",Yes,54.0,16771.0
Other,"$15,000 to $24,999",Yes,54.0,21171.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,50.0,27691.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,50.0,30642.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,37.0,46003.0
Fulltime Job,"$15,000 to $24,999",No,33.0,21042.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,41.0,22079.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,45.0,23966.0
Contracts or Temporary Jobs,"Over $150,000",No,49.0,216283.0
One or More Part-time Jobs,"Over $150,000",No,49.0,199708.0
Contracts or Temporary Jobs,"Under $15,000",Yes,23.0,9270.0
One or More Part-time Jobs,"Under $15,000",Yes,23.0,10124.0
Unemployed,"$15,000 to $24,999",No,36.0,21651.0
Unemployed,"$25,000 to $34,999",Yes,64.0,28089.0
Other,"$25,000 to $34,999",Yes,64.0,26489.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,57.0,27590.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,57.0,30561.0
Fulltime Job,"$25,000 to $34,999",Yes,54.0,28697.0
Art Practice,"$15,000 to $24,999",No,34.0,22920.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,34.0,19003.0
One or More Part-time Jobs,"$15,000 to $24,999",No,34.0,21979.0
Art Practice,"$15,000 to $24,999",Yes,36.0,16903.0
Unemployed,"$25,000 to $34,999",Yes,46.0,25697.0
Fulltime Job,"$25,000 to $34,999",No,23.0,31436.0
Family Support,"Under $15,000",Yes,24.0,4611.0
One or More Part-time Jobs,"Under $15,000",Yes,24.0,12008.0
Fulltime Job,"$15,000 to $24,999",Yes,25.0,23096.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,23207.0
Unemployed,"Under $15,000",Yes,40.0,3143.0
Fulltime Job,"$15,000 to $24,999",No,18.0,16297.0
Art Practice,"Under $15,000",Yes,32.0,308.0
Contracts or Temporary Jobs,"Under $15,000",Yes,32.0,1065.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,18901.0
Unemployed,"Under $15,000",Yes,63.0,14006.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,27.0,16835.0
Contracts or Temporary Jobs,"Under $15,000",No,19.0,3160.0
Unemployed,"Under $15,000",Yes,24.0,9778.0
Family Support,"Under $15,000",Yes,24.0,452.0
Contracts or Temporary Jobs,"Under $15,000",Yes,24.0,2437.0
Unemployed,"Under $15,000",No,35.0,14706.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,34.0,21649.0
Unemployed,"Under $15,000",Yes,25.0,5152.0
Contracts or Temporary Jobs,"Under $15,000",Yes,25.0,8415.0
Art Practice,"$15,000 to $24,999",Yes,32.0,20793.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,20559.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,32.0,22183.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,49.0,22457.0
Unemployed,"Under $15,000",Yes,36.0,14533.0
Other,"Under $15,000",Yes,36.0,14721.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,56.0,15443.0
Art Practice,"$25,000 to $34,999",Yes,51.0,31822.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,51.0,27868.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,51.0,25444.0
Family Support,"$50,000 to $74,999",No,22.0,66873.0
One or More Part-time Jobs,"$50,000 to $74,999",No,22.0,62512.0
Other,"$50,000 to $74,999",No,22.0,68140.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,51.0,33769.0
Family Support,"$25,000 to $34,999",Yes,26.0,31365.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,26.0,30477.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,26.0,31767.0
Unemployed,"Under $15,000",Yes,37.0,7988.0
Family Support,"Under $15,000",Yes,37.0,11069.0
Other,"Under $15,000",Yes,37.0,5977.0
One or More Part-time Jobs,"Under $15,000",Yes,26.0,13102.0
Family Support,"Under $15,000",Yes,74.0,1157.0
Contracts or Temporary Jobs,"Under $15,000",Yes,74.0,13253.0
One or More Part-time Jobs,"Under $15,000",Yes,26.0,14477.0
Fulltime Job,"$25,000 to $34,999",Yes,31.0,31872.0
Family Support,"Under $15,000",Yes,54.0,7605.0
Art Practice,"Under $15,000",Yes,54.0,8533.0
Unemployed,"Under $15,000",Yes,39.0,3163.0
Family Support,"Under $15,000",Yes,39.0,2617.0
Art Practice,"Under $15,000",Yes,39.0,3674.0
Contracts or Temporary Jobs,"Under $15,000",Yes,39.0,6893.0
One or More Part-time Jobs,"Under $15,000",Yes,39.0,7321.0
Unemployed,"$35,000 to $49,999",Prefer not to answer ,49.0,39656.0
Family Support,"$35,000 to $49,999",Prefer not to answer ,49.0,37820.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Prefer not to answer ,49.0,42174.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,16550.0
Unemployed,"$25,000 to $34,999",Yes,30.0,26960.0
Art Practice,"$25,000 to $34,999",Yes,30.0,30928.0
Other,"$25,000 to $34,999",Yes,30.0,30763.0
Unemployed,"$25,000 to $34,999",Yes,77.0,25240.0
Unemployed,"Under $15,000",Yes,42.0,5743.0
Other,"Under $15,000",Yes,42.0,10738.0
Art Practice,"$15,000 to $24,999",Yes,27.0,18645.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,20531.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,27.0,16431.0
Unemployed,"$25,000 to $34,999",Yes,42.0,25858.0
Other,"$25,000 to $34,999",Yes,42.0,33692.0
Unemployed,"$25,000 to $34,999",No,32.0,33201.0
Family Support,"$25,000 to $34,999",No,32.0,26965.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,32.0,33398.0
One or More Part-time Jobs,"$15,000 to $24,999",No,30.0,23493.0
Unemployed,"Under $15,000",Prefer not to answer ,37.0,13849.0
Unemployed,"$15,000 to $24,999",No,29.0,17545.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,29.0,18622.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,39.0,33143.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,39.0,29815.0
Family Support,"$25,000 to $34,999",Yes,27.0,27089.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,27.0,28226.0
Fulltime Job,"$15,000 to $24,999",Yes,27.0,16987.0
Other,"$15,000 to $24,999",Yes,27.0,17689.0
One or More Part-time Jobs,"Under $15,000",Yes,29.0,9311.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,49.0,23648.0
One or More Part-time Jobs,"Under $15,000",Yes,25.0,10062.0
Fulltime Job,"Under $15,000",Yes,27.0,4120.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,1259.0
Unemployed,"$15,000 to $24,999",Yes,28.0,17883.0
Family Support,"$35,000 to $49,999",No,59.0,48128.0
Unemployed,"$50,000 to $74,999",Yes,33.0,66769.0
Art Practice,"$50,000 to $74,999",Yes,33.0,70865.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,33.0,50569.0
Fulltime Job,"$15,000 to $24,999",Yes,23.0,21179.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,72.0,30148.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,72.0,25406.0
Fulltime Job,"$15,000 to $24,999",No,22.0,20387.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,58.0,26001.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,29.0,22693.0
Art Practice,"$25,000 to $34,999",Yes,42.0,25335.0
One or More Part-time Jobs,"$25,000 to $34,999",No,27.0,31456.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,40.0,32979.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,30033.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,32.0,31349.0
Family Support,"$25,000 to $34,999",No,20.0,25676.0
Other,"$25,000 to $34,999",No,20.0,26188.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,54.0,42209.0
Fulltime Job,"$35,000 to $49,999",Yes,31.0,44302.0
One or More Part-time Jobs,"Under $15,000",Yes,25.0,603.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,24.0,23376.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,19329.0
Family Support,"$25,000 to $34,999",Yes,40.0,27704.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,40.0,29490.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,40.0,25398.0
Unemployed,"Under $15,000",Yes,35.0,1777.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,48.0,40403.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,50.0,20884.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,50.0,21464.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,33813.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,48.0,24757.0
Unemployed,"$15,000 to $24,999",Prefer not to answer ,55.0,16186.0
Art Practice,"$15,000 to $24,999",Prefer not to answer ,55.0,20910.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,55.0,20715.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,6396.0
One or More Part-time Jobs,"Under $15,000",Yes,30.0,10047.0
One or More Part-time Jobs,"Under $15,000",Yes,25.0,6632.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,16040.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,30.0,15743.0
Unemployed,"$15,000 to $24,999",Yes,34.0,20038.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,19285.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,45.0,44007.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,45.0,37651.0
Other,"$15,000 to $24,999",Yes,62.0,23337.0
Unemployed,"Under $15,000",Yes,29.0,5623.0
Family Support,"Under $15,000",Yes,29.0,9160.0
Art Practice,"Under $15,000",Yes,37.0,714.0
Contracts or Temporary Jobs,"Under $15,000",No,26.0,2136.0
One or More Part-time Jobs,"Under $15,000",No,26.0,6981.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,38.0,17452.0
Unemployed,"Under $15,000",No,75.0,13590.0
Unemployed,"Under $15,000",Yes,38.0,7542.0
Family Support,"Under $15,000",Yes,38.0,10344.0
Unemployed,"$15,000 to $24,999",Yes,46.0,20940.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,37.0,30806.0
One or More Part-time Jobs,"$25,000 to $34,999",No,37.0,31313.0
Other,"$25,000 to $34,999",Yes,69.0,34485.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,26.0,38828.0
Unemployed,"$15,000 to $24,999",No,37.0,18556.0
One or More Part-time Jobs,"$75,000 to $99,999",Yes,22.0,99425.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,60.0,34484.0
Unemployed,"Under $15,000",No,30.0,3817.0
Family Support,"Under $15,000",No,30.0,11432.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,49.0,15547.0
Unemployed,"Under $15,000",Yes,44.0,17.0
Unemployed,"Under $15,000",Prefer not to answer ,33.0,10664.0
Art Practice,"Under $15,000",Prefer not to answer ,33.0,14359.0
Contracts or Temporary Jobs,"Under $15,000",Prefer not to answer ,33.0,8362.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,43.0,20445.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,43.0,17961.0
Unemployed,"$15,000 to $24,999",Yes,62.0,21647.0
Unemployed,"$15,000 to $24,999",Yes,31.0,22884.0
Family Support,"$15,000 to $24,999",Yes,31.0,22264.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,34.0,22357.0
One or More Part-time Jobs,"$15,000 to $24,999",Prefer not to answer ,34.0,21867.0
Family Support,"Under $15,000",Yes,29.0,9085.0
Art Practice,"Under $15,000",Yes,28.0,14580.0
Contracts or Temporary Jobs,"Under $15,000",Yes,28.0,12755.0
Unemployed,"$15,000 to $24,999",Yes,24.0,16704.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,24.0,20903.0
Other,"$15,000 to $24,999",Yes,24.0,24159.0
Other,"$15,000 to $24,999",Yes,46.0,23853.0
One or More Part-time Jobs,"Under $15,000",Yes,33.0,332.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,31.0,42143.0
One or More Part-time Jobs,"$35,000 to $49,999",No,31.0,40417.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,18528.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,32.0,23345.0
Art Practice,"Under $15,000",No,52.0,11245.0
Contracts or Temporary Jobs,"Under $15,000",No,52.0,9067.0
One or More Part-time Jobs,"Under $15,000",No,52.0,4446.0
Art Practice,"Under $15,000",Yes,26.0,10856.0
Art Practice,"$15,000 to $24,999",Yes,58.0,15186.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,58.0,16028.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,43.0,40276.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,43.0,45485.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,29.0,23649.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,29.0,15479.0
Family Support,"$35,000 to $49,999",Yes,22.0,40218.0
Fulltime Job,"$35,000 to $49,999",Yes,22.0,36319.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,61.0,55369.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,61.0,63595.0
Family Support,"Under $15,000",No,27.0,7831.0
Unemployed,"Under $15,000",Yes,30.0,6836.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,6743.0
One or More Part-time Jobs,"Under $15,000",Yes,32.0,4821.0
Art Practice,"Under $15,000",Yes,57.0,5800.0
Contracts or Temporary Jobs,"Under $15,000",Yes,33.0,13919.0
One or More Part-time Jobs,"Under $15,000",Yes,33.0,12890.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,28780.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,32.0,31234.0
Other,"$25,000 to $34,999",Yes,32.0,25895.0
Unemployed,"$35,000 to $49,999",Yes,26.0,43253.0
Contracts or Temporary Jobs,"Under $15,000",Yes,36.0,4563.0
Art Practice,"$35,000 to $49,999",Yes,30.0,47960.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,30.0,40200.0
Unemployed,"$35,000 to $49,999",Yes,42.0,39134.0
Art Practice,"$35,000 to $49,999",Yes,42.0,48768.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,42.0,42315.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,48.0,43066.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,23223.0
Art Practice,"Under $15,000",Yes,28.0,14405.0
Contracts or Temporary Jobs,"Under $15,000",Yes,28.0,12977.0
Unemployed,"Under $15,000",Yes,32.0,13810.0
Family Support,"Under $15,000",Yes,32.0,5804.0
Art Practice,"Under $15,000",Yes,32.0,3489.0
Unemployed,"$15,000 to $24,999",Yes,40.0,24993.0
Other,"$15,000 to $24,999",Yes,40.0,18179.0
Art Practice,"$25,000 to $34,999",Yes,58.0,27258.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,58.0,25357.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,58.0,31139.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,48.0,46012.0
Unemployed,"$15,000 to $24,999",No,46.0,18206.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,50.0,33337.0
Contracts or Temporary Jobs,"Under $15,000",No,38.0,6368.0
Fulltime Job,"$35,000 to $49,999",Yes,26.0,49379.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,26.0,43003.0
Fulltime Job,"$15,000 to $24,999",Yes,33.0,15020.0
Unemployed,"Under $15,000",Yes,63.0,11.0
Art Practice,"$15,000 to $24,999",Yes,40.0,16624.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,40.0,18619.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,40.0,20905.0
Fulltime Job,"$15,000 to $24,999",Yes,24.0,24211.0
Unemployed,"Under $15,000",Prefer not to answer ,47.0,2025.0
Art Practice,"Under $15,000",Prefer not to answer ,47.0,5796.0
Contracts or Temporary Jobs,"Under $15,000",Prefer not to answer ,47.0,5641.0
Art Practice,"$15,000 to $24,999",Yes,32.0,22103.0
One or More Part-time Jobs,"$15,000 to $24,999",No,35.0,19873.0
Other,"$15,000 to $24,999",Yes,64.0,22467.0
Family Support,"Under $15,000",No,88.0,10146.0
Contracts or Temporary Jobs,"Under $15,000",No,88.0,6516.0
Unemployed,"$25,000 to $34,999",Yes,44.0,25252.0
Art Practice,"$15,000 to $24,999",No,29.0,23697.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,29.0,18690.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,29.0,20896.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,25.0,33248.0
Unemployed,"Under $15,000",Yes,27.0,14070.0
Art Practice,"Under $15,000",Yes,27.0,12289.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,2121.0
Other,"Under $15,000",Yes,27.0,3263.0
One or More Part-time Jobs,"Under $15,000",Yes,27.0,5026.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,24.0,28947.0
Family Support,"$35,000 to $49,999",No,57.0,38932.0
Art Practice,"$35,000 to $49,999",No,57.0,42111.0
Other,"$35,000 to $49,999",No,57.0,41737.0
Fulltime Job,"$25,000 to $34,999",Yes,42.0,31510.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,42.0,26306.0
Unemployed,"$15,000 to $24,999",Yes,25.0,21756.0
Family Support,"$15,000 to $24,999",Yes,25.0,17915.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,25.0,22756.0
Unemployed,"$25,000 to $34,999",Yes,39.0,34353.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,29.0,22405.0
Unemployed,"Under $15,000",Prefer not to answer ,46.0,5602.0
Art Practice,"Under $15,000",Prefer not to answer ,46.0,10430.0
Family Support,"$35,000 to $49,999",Yes,40.0,36709.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,40.0,49037.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,24.0,27336.0
Unemployed,"$50,000 to $74,999",Yes,32.0,70037.0
Art Practice,"$50,000 to $74,999",Yes,32.0,50152.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,32.0,71470.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,28.0,23918.0
One or More Part-time Jobs,"$15,000 to $24,999",No,28.0,23831.0
Contracts or Temporary Jobs,"Under $15,000",Yes,26.0,11681.0
One or More Part-time Jobs,"Under $15,000",Yes,26.0,13722.0
Unemployed,"Under $15,000",Yes,48.0,12457.0
One or More Part-time Jobs,"$25,000 to $34,999",No,49.0,33008.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,38.0,35739.0
Unemployed,"$25,000 to $34,999",Yes,42.0,33620.0
Family Support,"$25,000 to $34,999",Yes,42.0,34963.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,42.0,25586.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,38.0,23288.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,6820.0
Fulltime Job,"$75,000 to $99,999",No,45.0,87370.0
Fulltime Job,"Under $15,000",No,18.0,9018.0
Contracts or Temporary Jobs,"Under $15,000",No,18.0,10354.0
Contracts or Temporary Jobs,"Under $15,000",Yes,36.0,3600.0
One or More Part-time Jobs,"Under $15,000",Yes,36.0,2736.0
Art Practice,"$25,000 to $34,999",No,33.0,30103.0
Other,"$25,000 to $34,999",No,33.0,28797.0
Unemployed,"$35,000 to $49,999",Yes,34.0,38711.0
Family Support,"$35,000 to $49,999",Yes,34.0,36207.0
One or More Part-time Jobs,"$75,000 to $99,999",Yes,36.0,87601.0
Fulltime Job,"$15,000 to $24,999",Yes,43.0,18440.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,43.0,16259.0
Unemployed,"$15,000 to $24,999",Yes,46.0,16498.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,46.0,20309.0
Art Practice,"Under $15,000",Yes,34.0,13636.0
Contracts or Temporary Jobs,"Under $15,000",Yes,31.0,7652.0
One or More Part-time Jobs,"Under $15,000",Yes,31.0,12588.0
Contracts or Temporary Jobs,"Under $15,000",Yes,41.0,998.0
Art Practice,"$25,000 to $34,999",Yes,26.0,34675.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,26.0,32664.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,26.0,31505.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,33.0,38289.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,33.0,49104.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,20091.0
