earning_mode,household_income_2021,debt,age,income
Unemployed,"$35,000 to $49,999",Yes,27.0,36093.0
Other,"$35,000 to $49,999",Yes,27.0,39545.0
Contracts or Temporary Jobs,"Under $15,000",Prefer not to answer ,38.0,2779.0
One or More Part-time Jobs,"$15,000 to $24,999",Prefer not to answer ,24.0,20837.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,40.0,39388.0
One or More Part-time Jobs,"$35,000 to $49,999",No,40.0,41520.0
Contracts or Temporary Jobs,"$100,000 to $149,999",Yes,27.0,108303.0
One or More Part-time Jobs,"$100,000 to $149,999",Yes,27.0,137231.0
Contracts or Temporary Jobs,"Under $15,000",Yes,32.0,1192.0
One or More Part-time Jobs,"Under $15,000",Yes,32.0,5048.0
Art Practice,"$15,000 to $24,999",No,42.0,16822.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,43.0,24130.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,43.0,15005.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,46.0,44378.0
Unemployed,"$15,000 to $24,999",Yes,23.0,24240.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,23.0,19200.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,32.0,43167.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,32.0,37259.0
Art Practice,"$25,000 to $34,999",Yes,29.0,28745.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,29.0,29474.0
Art Practice,"$15,000 to $24,999",Yes,46.0,22242.0
Unemployed,"$15,000 to $24,999",Yes,26.0,23698.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,16797.0
Other,"$15,000 to $24,999",Yes,26.0,18413.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,44.0,43435.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,20547.0
Unemployed,"$15,000 to $24,999",Yes,52.0,24221.0
Other,"$15,000 to $24,999",Yes,52.0,20557.0
Unemployed,"$15,000 to $24,999",Yes,39.0,19705.0
One or More Part-time Jobs,"Under $15,000",Yes,37.0,10043.0
Fulltime Job,"$25,000 to $34,999",Yes,32.0,26499.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,33964.0
Art Practice,"$15,000 to $24,999",Yes,42.0,20243.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,42.0,17479.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,38.0,21038.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,38.0,19911.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,29.0,18819.0
Family Support,"$25,000 to $34,999",Yes,35.0,34708.0
Fulltime Job,"$25,000 to $34,999",Yes,35.0,28490.0
Fulltime Job,"$35,000 to $49,999",Yes,28.0,49116.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,28.0,38111.0
Contracts or Temporary Jobs,"$50,000 to $74,999",No,34.0,50489.0
One or More Part-time Jobs,"$50,000 to $74,999",No,34.0,62040.0
Art Practice,"$25,000 to $34,999",Yes,36.0,26775.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,36.0,29198.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,47.0,22954.0
Other,"$25,000 to $34,999",No,33.0,28108.0
Unemployed,"$15,000 to $24,999",Yes,60.0,20020.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,60.0,19232.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,50.0,27462.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,50.0,26144.0
Other,"$25,000 to $34,999",Yes,50.0,30799.0
Other,"Under $15,000",Yes,23.0,4632.0
Unemployed,"$15,000 to $24,999",Yes,56.0,18403.0
Unemployed,"$50,000 to $74,999",Yes,40.0,55706.0
Fulltime Job,"$35,000 to $49,999",Yes,26.0,39501.0
Unemployed,"$15,000 to $24,999",Prefer not to answer ,35.0,20435.0
Other,"$15,000 to $24,999",Yes,51.0,18510.0
Other,"$15,000 to $24,999",Yes,73.0,17521.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,39.0,42676.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,39.0,49270.0
Unemployed,"$15,000 to $24,999",Yes,36.0,19679.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,36.0,21282.0
Unemployed,"$15,000 to $24,999",Yes,31.0,23769.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,31.0,23478.0
Fulltime Job,"$50,000 to $74,999",Yes,27.0,67896.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,27.0,65747.0
Contracts or Temporary Jobs,"Under $15,000",No,60.0,9108.0
